,value
owner_share,0.5341759436451373
renter_share,0.4658240563548627
zero_vehicle_share,0.06565621244969451
one_vehicle_share,0.39932226665564663
two_vehicle_share,0.36677390027274637
three_plus_vehicle_share,0.11669283929581853
gt_30min_commute_share,0.3515680449215192
drive_alone_share,0.6832536793958963
carpool_share,0.08175009368535069
public_transport_share,0.01606767932402811
walk_share,0.01877557096729483
bike_share,0.0030287318853599314
wfh_share,0.18269926745755924
