table,geo,category,estimate,moe
sex_by_age,"Davidson County, TN",25 to 29 years,38345,67.0
sex_by_age,"Davidson County, TN",30 to 34 years,35897,47.0
sex_by_age,"Davidson County, TN",35 to 39 years,28191,1048.0
sex_by_age,"Davidson County, TN",40 to 44 years,22757,1045.0
sex_by_age,"Davidson County, TN",45 to 49 years,20042,23.0
sex_by_age,"Davidson County, TN",50 to 54 years,19871,54.0
sex_by_age,"Davidson County, TN",55 to 59 years,21333,878.0
sex_by_age,"Davidson County, TN",60 and 61 years,8093,643.0
sex_by_age,"Davidson County, TN",62 to 64 years,11413,966.0
sex_by_age,"Davidson County, TN",65 and 66 years,7766,692.0
sex_by_age,"Davidson County, TN",67 to 69 years,9711,636.0
sex_by_age,"Davidson County, TN",70 to 74 years,13455,771.0
sex_by_age,"Davidson County, TN",75 to 79 years,8466,621.0
sex_by_age,"Davidson County, TN",80 to 84 years,6027,504.0
sex_by_age,"Davidson County, TN",85 years and over,5950,621.0
