"Label (Grouping)","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error"
"Total:","256,745","±1,510"
"    Owner occupied","140,374","±1,644"
"    Renter occupied","116,371","±1,723"
