"Label (Grouping)","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error"
"Total:","277,903","±1,499"
"    Owner occupied","150,399","±1,787"
"    Renter occupied","127,504","±1,865"
