"Label (Grouping)","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error"
"Total:","314,578","±1,422"
"    Owner occupied","168,040","±2,113"
"    Renter occupied","146,538","±2,253"
