"Label (Grouping)","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error"
"Total:","301,031","±2,407"
"    Less than 5 minutes","5,529","±546"
"    5 to 9 minutes","21,087","±1,270"
"    10 to 14 minutes","40,135","±1,562"
"    15 to 19 minutes","53,388","±1,872"
"    20 to 24 minutes","61,576","±1,680"
"    25 to 29 minutes","24,812","±1,352"
"    30 to 34 minutes","52,181","±1,819"
"    35 to 39 minutes","7,858","±632"
"    40 to 44 minutes","9,305","±901"
"    45 to 59 minutes","15,228","±980"
"    60 to 89 minutes","6,214","±605"
"    90 or more minutes","3,718","±538"
