"Label (Grouping)","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error"
"Total:","684,017","*****"
"    Male:","329,948","±105"
"        Under 5 years","23,612","±101"
"        5 to 9 years","20,730","±708"
"        10 to 14 years","18,780","±707"
"        15 to 17 years","10,603","±56"
"        18 and 19 years","8,902","±42"
"        20 years","4,352","±443"
"        21 years","4,897","±471"
"        22 to 24 years","14,872","±578"
"        25 to 29 years","33,959","±101"
"        30 to 34 years","31,314","±29"
"        35 to 39 years","25,227","±767"
"        40 to 44 years","21,847","±759"
"        45 to 49 years","20,338","±47"
"        50 to 54 years","20,318","±74"
"        55 to 59 years","19,426","±593"
"        60 and 61 years","8,167","±576"
"        62 to 64 years","9,162","±529"
"        65 and 66 years","5,920","±353"
"        67 to 69 years","7,289","±357"
"        70 to 74 years","8,297","±396"
"        75 to 79 years","5,478","±359"
"        80 to 84 years","3,464","±313"
"        85 years and over","2,994","±315"
"    Female:","354,069","±105"
"        Under 5 years","22,830","±88"
"        5 to 9 years","20,885","±716"
"        10 to 14 years","17,922","±728"
"        15 to 17 years","10,128","±68"
"        18 and 19 years","9,007","±76"
"        20 years","4,129","±514"
"        21 years","4,694","±518"
"        22 to 24 years","17,731","±707"
"        25 to 29 years","37,689","±90"
"        30 to 34 years","31,988","±97"
"        35 to 39 years","25,984","±848"
"        40 to 44 years","20,578","±862"
"        45 to 49 years","20,661","±16"
"        50 to 54 years","21,473","±70"
"        55 to 59 years","22,890","±619"
"        60 and 61 years","8,687","±525"
"        62 to 64 years","10,344","±610"
"        65 and 66 years","6,883","±472"
"        67 to 69 years","8,932","±471"
"        70 to 74 years","10,428","±488"
"        75 to 79 years","7,883","±515"
"        80 to 84 years","5,865","±503"
"        85 years and over","6,458","±443"
